,y_yes,age,balance,duration,campaign,previous,marital_married,marital_single,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes
0,0,58,2143,261,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,44,29,151,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2,0,33,2,76,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
3,0,47,1506,92,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,0,35,231,139,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
5,0,28,447,217,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
6,0,42,2,380,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
7,0,58,121,50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8,0,43,593,55,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
9,0,41,270,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,0,29,390,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,0,53,6,517,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
12,0,58,71,71,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
13,0,57,162,174,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
14,0,51,229,353,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,0,45,13,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16,0,57,52,38,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,60,60,219,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18,0,33,0,54,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
19,0,28,723,262,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
20,0,56,779,164,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
21,0,32,23,160,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22,0,25,50,342,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
23,0,40,0,181,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,0,44,-372,172,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25,0,39,255,296,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
26,0,52,113,127,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
27,0,46,-246,255,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
28,0,36,265,348,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
29,0,57,839,225,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
30,0,49,378,230,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
31,0,60,39,208,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
32,0,59,0,226,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,51,10635,336,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
34,0,57,63,242,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35,0,25,-7,365,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,0,53,-3,1666,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
37,0,36,506,577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,0,37,0,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,0,44,2586,160,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
40,0,50,49,180,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
41,0,60,104,22,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42,0,54,529,1492,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
43,0,58,96,616,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
44,0,36,-171,242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0,58,-364,355,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
46,0,44,0,225,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
47,0,55,0,160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,0,29,0,363,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
49,0,54,1291,266,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50,0,48,-244,253,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
51,0,32,0,179,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
52,0,42,-76,787,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,0,24,-103,145,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
54,0,38,243,174,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
55,0,38,424,104,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
56,0,47,306,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
